test_not,"{'soundCheck': ['soundCheck'], 'preFam': ['just_ball_short', 'just_duck_short', 'just_shoe_short', 'only_ball_short', 'only_duck_short', 'only_shoe_short'], 'fam': ['just_ball_long', 'just_duck_long', 'just_shoe_long', 'only_ball_long', 'only_duck_long', 'only_shoe_long'], 'preTest': ['not_ball_short', 'not_duck_short', 'not_shoe_short'], 'test': ['not_ball_long', 'not_duck_long', 'not_shoe_long']}"
test_now,"{'soundCheck': ['soundCheck'], 'preFam': ['only_ball_short', 'only_duck_short', 'only_shoe_short', 'really_ball_short', 'really_duck_short', 'really_shoe_short'], 'fam': ['only_ball_long', 'only_duck_long', 'only_shoe_long', 'really_ball_long', 'really_duck_long', 'really_shoe_long'], 'preTest': ['now_ball_short', 'now_duck_short', 'now_shoe_short'], 'test': ['now_ball_long', 'now_duck_long', 'now_shoe_long']}"
1,"{'soundCheck': ['soundCheck'], 'preFam': ['just_shoe_short', 'only_ball_short', 'really_duck_short', 'just_ball_short', 'only_duck_short', 'really_shoe_short'], 'fam': ['just_shoe_long', 'only_ball_long', 'really_duck_long', 'just_ball_long', 'only_duck_long', 'really_shoe_long'], 'preTest': ['not_duck_short', 'not_ball_short', 'not_shoe_short'], 'test': ['not_duck_long', 'not_ball_long', 'not_shoe_long']}"
2,"{'soundCheck': ['soundCheck'], 'preFam': ['really_shoe_short', 'only_ball_short', 'just_duck_short', 'only_duck_short', 'just_shoe_short', 'really_ball_short'], 'fam': ['really_shoe_long', 'only_ball_long', 'just_duck_long', 'only_duck_long', 'just_shoe_long', 'really_ball_long'], 'preTest': ['now_duck_short', 'now_ball_short', 'now_shoe_short'], 'test': ['now_duck_long', 'now_ball_long', 'now_shoe_long']}"
3,"{'soundCheck': ['soundCheck'], 'preFam': ['really_duck_short', 'just_ball_short', 'only_shoe_short', 'really_shoe_short', 'only_ball_short', 'just_duck_short'], 'fam': ['really_duck_long', 'just_ball_long', 'only_shoe_long', 'really_shoe_long', 'only_ball_long', 'just_duck_long'], 'preTest': ['not_duck_short', 'not_ball_short', 'not_shoe_short'], 'test': ['not_duck_long', 'not_ball_long', 'not_shoe_long']}"
4,"{'soundCheck': ['soundCheck'], 'preFam': ['just_duck_short', 'really_ball_short', 'only_shoe_short', 'really_duck_short', 'just_shoe_short', 'only_ball_short'], 'fam': ['just_duck_long', 'really_ball_long', 'only_shoe_long', 'really_duck_long', 'just_shoe_long', 'only_ball_long'], 'preTest': ['now_duck_short', 'now_shoe_short', 'now_ball_short'], 'test': ['now_duck_long', 'now_shoe_long', 'now_ball_long']}"
5,"{'soundCheck': ['soundCheck'], 'preFam': ['only_duck_short', 'just_shoe_short', 'really_ball_short', 'just_ball_short', 'really_duck_short', 'only_shoe_short'], 'fam': ['only_duck_long', 'just_shoe_long', 'really_ball_long', 'just_ball_long', 'really_duck_long', 'only_shoe_long'], 'preTest': ['not_ball_short', 'not_duck_short', 'not_shoe_short'], 'test': ['not_ball_long', 'not_duck_long', 'not_shoe_long']}"
6,"{'soundCheck': ['soundCheck'], 'preFam': ['just_ball_short', 'really_shoe_short', 'only_duck_short', 'only_ball_short', 'just_shoe_short', 'really_duck_short'], 'fam': ['just_ball_long', 'really_shoe_long', 'only_duck_long', 'only_ball_long', 'just_shoe_long', 'really_duck_long'], 'preTest': ['now_shoe_short', 'now_duck_short', 'now_ball_short'], 'test': ['now_shoe_long', 'now_duck_long', 'now_ball_long']}"
7,"{'soundCheck': ['soundCheck'], 'preFam': ['only_shoe_short', 'just_ball_short', 'really_duck_short', 'really_ball_short', 'just_shoe_short', 'only_duck_short'], 'fam': ['only_shoe_long', 'just_ball_long', 'really_duck_long', 'really_ball_long', 'just_shoe_long', 'only_duck_long'], 'preTest': ['now_duck_short', 'now_ball_short', 'now_shoe_short'], 'test': ['now_duck_long', 'now_ball_long', 'now_shoe_long']}"
8,"{'soundCheck': ['soundCheck'], 'preFam': ['only_ball_short', 'just_shoe_short', 'really_duck_short', 'really_ball_short', 'only_shoe_short', 'just_duck_short'], 'fam': ['only_ball_long', 'just_shoe_long', 'really_duck_long', 'really_ball_long', 'only_shoe_long', 'just_duck_long'], 'preTest': ['not_shoe_short', 'not_duck_short', 'not_ball_short'], 'test': ['not_shoe_long', 'not_duck_long', 'not_ball_long']}"
9,"{'soundCheck': ['soundCheck'], 'preFam': ['only_ball_short', 'really_duck_short', 'just_shoe_short', 'just_ball_short', 'only_duck_short', 'really_shoe_short'], 'fam': ['only_ball_long', 'really_duck_long', 'just_shoe_long', 'just_ball_long', 'only_duck_long', 'really_shoe_long'], 'preTest': ['not_shoe_short', 'not_duck_short', 'not_ball_short'], 'test': ['not_shoe_long', 'not_duck_long', 'not_ball_long']}"
10,"{'soundCheck': ['soundCheck'], 'preFam': ['only_ball_short', 'really_shoe_short', 'just_duck_short', 'just_shoe_short', 'really_ball_short', 'only_duck_short'], 'fam': ['only_ball_long', 'really_shoe_long', 'just_duck_long', 'just_shoe_long', 'really_ball_long', 'only_duck_long'], 'preTest': ['now_shoe_short', 'now_ball_short', 'now_duck_short'], 'test': ['now_shoe_long', 'now_ball_long', 'now_duck_long']}"
11,"{'soundCheck': ['soundCheck'], 'preFam': ['just_duck_short', 'really_shoe_short', 'only_ball_short', 'only_shoe_short', 'really_duck_short', 'just_ball_short'], 'fam': ['just_duck_long', 'really_shoe_long', 'only_ball_long', 'only_shoe_long', 'really_duck_long', 'just_ball_long'], 'preTest': ['not_duck_short', 'not_ball_short', 'not_shoe_short'], 'test': ['not_duck_long', 'not_ball_long', 'not_shoe_long']}"
12,"{'soundCheck': ['soundCheck'], 'preFam': ['just_shoe_short', 'only_duck_short', 'really_ball_short', 'really_shoe_short', 'only_ball_short', 'just_duck_short'], 'fam': ['just_shoe_long', 'only_duck_long', 'really_ball_long', 'really_shoe_long', 'only_ball_long', 'just_duck_long'], 'preTest': ['now_shoe_short', 'now_ball_short', 'now_duck_short'], 'test': ['now_shoe_long', 'now_ball_long', 'now_duck_long']}"
13,"{'soundCheck': ['soundCheck'], 'preFam': ['just_ball_short', 'only_duck_short', 'really_shoe_short', 'really_ball_short', 'just_duck_short', 'only_shoe_short'], 'fam': ['just_ball_long', 'only_duck_long', 'really_shoe_long', 'really_ball_long', 'just_duck_long', 'only_shoe_long'], 'preTest': ['now_ball_short', 'now_shoe_short', 'now_duck_short'], 'test': ['now_ball_long', 'now_shoe_long', 'now_duck_long']}"
14,"{'soundCheck': ['soundCheck'], 'preFam': ['just_ball_short', 'really_duck_short', 'only_shoe_short', 'only_duck_short', 'really_ball_short', 'just_shoe_short'], 'fam': ['just_ball_long', 'really_duck_long', 'only_shoe_long', 'only_duck_long', 'really_ball_long', 'just_shoe_long'], 'preTest': ['not_ball_short', 'not_shoe_short', 'not_duck_short'], 'test': ['not_ball_long', 'not_shoe_long', 'not_duck_long']}"
15,"{'soundCheck': ['soundCheck'], 'preFam': ['really_shoe_short', 'only_ball_short', 'just_duck_short', 'really_duck_short', 'only_shoe_short', 'just_ball_short'], 'fam': ['really_shoe_long', 'only_ball_long', 'just_duck_long', 'really_duck_long', 'only_shoe_long', 'just_ball_long'], 'preTest': ['now_shoe_short', 'now_duck_short', 'now_ball_short'], 'test': ['now_shoe_long', 'now_duck_long', 'now_ball_long']}"
16,"{'soundCheck': ['soundCheck'], 'preFam': ['just_ball_short', 'really_duck_short', 'only_shoe_short', 'just_duck_short', 'really_shoe_short', 'only_ball_short'], 'fam': ['just_ball_long', 'really_duck_long', 'only_shoe_long', 'just_duck_long', 'really_shoe_long', 'only_ball_long'], 'preTest': ['not_shoe_short', 'not_duck_short', 'not_ball_short'], 'test': ['not_shoe_long', 'not_duck_long', 'not_ball_long']}"
17,"{'soundCheck': ['soundCheck'], 'preFam': ['just_duck_short', 'really_ball_short', 'only_shoe_short', 'just_shoe_short', 'really_duck_short', 'only_ball_short'], 'fam': ['just_duck_long', 'really_ball_long', 'only_shoe_long', 'just_shoe_long', 'really_duck_long', 'only_ball_long'], 'preTest': ['now_duck_short', 'now_shoe_short', 'now_ball_short'], 'test': ['now_duck_long', 'now_shoe_long', 'now_ball_long']}"
18,"{'soundCheck': ['soundCheck'], 'preFam': ['only_ball_short', 'really_shoe_short', 'just_duck_short', 'really_duck_short', 'just_ball_short', 'only_shoe_short'], 'fam': ['only_ball_long', 'really_shoe_long', 'just_duck_long', 'really_duck_long', 'just_ball_long', 'only_shoe_long'], 'preTest': ['not_duck_short', 'not_shoe_short', 'not_ball_short'], 'test': ['not_duck_long', 'not_shoe_long', 'not_ball_long']}"
19,"{'soundCheck': ['soundCheck'], 'preFam': ['only_shoe_short', 'really_ball_short', 'just_duck_short', 'just_ball_short', 'only_duck_short', 'really_shoe_short'], 'fam': ['only_shoe_long', 'really_ball_long', 'just_duck_long', 'just_ball_long', 'only_duck_long', 'really_shoe_long'], 'preTest': ['not_duck_short', 'not_shoe_short', 'not_ball_short'], 'test': ['not_duck_long', 'not_shoe_long', 'not_ball_long']}"
20,"{'soundCheck': ['soundCheck'], 'preFam': ['really_ball_short', 'just_shoe_short', 'only_duck_short', 'only_ball_short', 'just_duck_short', 'really_shoe_short'], 'fam': ['really_ball_long', 'just_shoe_long', 'only_duck_long', 'only_ball_long', 'just_duck_long', 'really_shoe_long'], 'preTest': ['now_shoe_short', 'now_duck_short', 'now_ball_short'], 'test': ['now_shoe_long', 'now_duck_long', 'now_ball_long']}"
21,"{'soundCheck': ['soundCheck'], 'preFam': ['just_shoe_short', 'only_duck_short', 'really_ball_short', 'only_shoe_short', 'just_ball_short', 'really_duck_short'], 'fam': ['just_shoe_long', 'only_duck_long', 'really_ball_long', 'only_shoe_long', 'just_ball_long', 'really_duck_long'], 'preTest': ['not_ball_short', 'not_duck_short', 'not_shoe_short'], 'test': ['not_ball_long', 'not_duck_long', 'not_shoe_long']}"
